GlobalEventID,IsRootEvent,QuadClass,EventCode,EventRootCode,ActionGeo_Lat,ActionGeo_Long,country_code_alpha,source_country_code
715802868,1,1,43,4,55.05,-3.4833300000000005,GBR,INT
715802869,1,4,163,16,40.7625,-73.9744,USA,MYS
715802870,1,1,42,4,55.05,-3.4833300000000005,GBR,INT
715802871,0,4,170,17,24.0,90.0,BGD,INT
715802872,0,4,170,17,24.0,90.0,BGD,INT
715802873,0,4,170,17,42.1497,-74.9384,USA,INT
715802874,0,1,40,4,42.1497,-74.9384,USA,MYS
715802875,0,1,40,4,42.1497,-74.9384,USA,MYS
715802876,0,1,40,4,42.1497,-74.9384,USA,MYS
715802877,1,1,43,4,43.6667,-79.4167,CAN,INT
715802878,1,1,42,4,43.6667,-79.4167,CAN,INT
715802879,1,4,150,15,39.828175,-98.5795,USA,IND
715802880,0,1,20,2,38.4199,-117.12200000000001,USA,USA
715802881,0,4,175,17,39.828175,-98.5795,USA,USA
715802882,1,3,130,13,1.0,38.0,KEN,KEN
715802883,1,3,130,13,1.0,38.0,KEN,KEN
715802884,0,1,20,2,38.4199,-117.12200000000001,USA,USA
715802885,1,4,190,19,18.3106,-78.1843,JAM,JAM
715802886,1,4,190,19,18.3106,-78.1843,JAM,JAM
715802887,1,1,46,4,-23.9045,29.4689,ZAF,ZAF
715802888,0,2,84,8,-29.0,26.0,ZAF,ZAF
715802889,0,3,100,10,2.0036099999999997,33.6511,UGA,UGA
715802890,0,1,43,4,-37.8167,144.967,AUS,USA
715802891,1,1,43,4,-37.8167,144.967,AUS,USA
715802892,1,2,60,6,-25.0,135.0,AUS,GBR
715802893,1,2,60,6,42.833333,12.833333,ITA,GBR
715802894,0,1,42,4,24.0,90.0,BGD,INT
715802895,0,1,42,4,49.0,32.0,UKR,INT
715802896,0,1,42,4,24.0,90.0,BGD,INT
715802897,1,1,40,4,-15.7833,-47.9167,BRA,CAN
715802899,1,1,42,4,-41.4388,147.135,AUS,AUS
715802900,1,4,173,17,50.7833,-0.466667,GBR,GBR
715802901,1,1,46,4,46.25,-124.0,CAN,USA
